ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","05-Mar-2025","716.05","717.55","731.30","717.00","730.00","730.35","725.61","1,04,09,805","7,55,34,94,263.10","1,89,027","58,12,211","55.83"
"SBIN","EQ","06-Mar-2025","730.35","736.00","736.75","727.00","730.25","732.05","731.45","1,09,28,847","7,99,38,92,337.10","2,11,006","63,31,838","57.94"
"SBIN","EQ","07-Mar-2025","732.05","732.05","734.85","728.00","731.95","732.75","731.74","72,46,729","5,30,27,55,367.95","1,69,004","38,37,316","52.95"
"SBIN","EQ","10-Mar-2025","732.75","732.75","738.50","726.60","727.70","728.90","732.30","74,00,109","5,41,91,25,663.50","1,40,264","41,07,288","55.50"
"SBIN","EQ","11-Mar-2025","728.90","724.90","734.05","722.70","729.90","729.85","729.33","55,38,789","4,03,96,29,878.35","1,06,128","26,95,190","48.66"
"SBIN","EQ","12-Mar-2025","729.85","730.60","737.00","719.05","722.75","723.05","726.43","55,47,762","4,03,00,71,050.60","1,09,147","22,32,288","40.24"
"SBIN","EQ","13-Mar-2025","723.05","725.90","731.45","724.50","728.00","727.85","728.41","59,08,337","4,30,36,76,476.60","1,54,692","26,81,024","45.38"
"SBIN","EQ","17-Mar-2025","727.85","728.90","731.25","722.30","723.30","723.15","724.77","51,49,565","3,73,22,35,269.50","1,00,779","26,76,234","51.97"
"SBIN","EQ","18-Mar-2025","723.15","726.60","738.45","722.60","737.65","736.70","731.34","80,87,710","5,91,48,29,898.90","1,64,100","40,90,532","50.58"
"SBIN","EQ","19-Mar-2025","736.70","739.60","749.30","739.10","745.05","745.10","745.26","76,04,850","5,66,75,68,731.10","1,43,607","37,19,924","48.92"
"SBIN","EQ","20-Mar-2025","745.10","748.00","752.70","744.20","748.50","749.55","748.29","69,63,197","5,21,05,23,085.70","2,30,012","35,79,165","51.40"
"SBIN","EQ","21-Mar-2025","749.55","749.95","755.60","747.00","754.50","753.20","752.25","95,77,327","7,20,45,91,918.55","1,51,097","60,89,164","63.58"
"SBIN","EQ","24-Mar-2025","753.20","758.00","782.95","755.10","781.00","780.80","772.33","1,20,95,064","9,34,13,33,502.05","2,15,047","59,66,447","49.33"
"SBIN","EQ","25-Mar-2025","780.80","783.90","786.00","769.20","770.35","772.85","777.02","1,51,90,143","11,80,30,03,386.50","2,27,394","82,57,689","54.36"
"SBIN","EQ","26-Mar-2025","772.85","772.00","776.05","761.45","762.70","764.00","767.90","77,11,852","5,92,19,02,187.95","1,95,361","41,88,367","54.31"
"SBIN","EQ","27-Mar-2025","764.00","763.80","775.80","760.50","772.05","772.30","770.57","1,56,48,616","12,05,83,72,899.40","1,75,954","1,04,29,907","66.65"
"SBIN","EQ","28-Mar-2025","772.30","772.10","778.60","767.00","771.20","771.50","773.30","76,28,185","5,89,88,86,414.55","1,19,920","38,81,056","50.88"
"SBIN","EQ","01-Apr-2025","771.50","766.80","782.75","763.20","771.25","771.70","772.17","70,11,125","5,41,37,77,287.45","2,14,639","28,59,726","40.79"
"SBIN","EQ","02-Apr-2025","771.70","772.30","777.00","764.30","776.60","775.95","772.51","54,58,436","4,21,67,03,463.55","1,19,114","25,95,030","47.54"
"SBIN","EQ","03-Apr-2025","775.95","770.00","784.70","769.95","779.90","779.20","778.44","79,56,680","6,19,38,05,584.15","1,40,239","40,32,321","50.68"
"SBIN","EQ","04-Apr-2025","779.20","779.10","782.90","765.00","769.00","767.45","773.82","82,31,194","6,36,94,55,086.45","1,47,204","36,40,339","44.23"
